id;V-id_video;V-content;V-norm_bitrate;V-complexity;V-complexity_class;QoA_VLCresolution;QoA_VLCcaching;QoA_VLCbitrate;QoA_VLCframerate;QoA_VLCdropped;QoA_VLCaudiorate;QoA_VLCaudioloss; QoA_BUFFERINGtime;QoD_screen_size;id_user;QoU_age;QoU_sex;mos
296;71;Movies;5.412066549907106;5.333550023964247;0;720;400;1583;30.11111111;0;44.03703704;1;1309.645;1366 x 768;44;23;men;4
297;53;Cartoons;9.197309181189583;7.008442081333783;2;720;1000;1789.555556;30.44444444;0;44.03703704;1;1444.747;1920x1200;36;24;women;5
298;22;Sports;18.99129562519022;9.298578866975943;3;720;400;1830.777778;29.81481481;0;43.62962963;1;1904.222;1920x1200;13;26;men;4
299;72;Movies;8.76286260877581;6.855607291109794;1;720;400;1724.888889;30.07407407;1;43.96296296;5;2402.968;1920x1200;47;22;women;4
300;23;Sports;9.88465928124628;7.236085120119441;2;144;100;77.22222222;0.740740741;23.11111111;21.77777778;0;1832.299;1366 x 768;16;22;men;1
301;41;Music;12.175865536915449;7.894544315349986;2;240;400;303.2222222;30.55555556;0;39;2;1101.202;1366 x 768;26;36;men;2
302;43;Music;8.63852382999514;6.810469349964349;1;360;200;1064.666667;25.55555556;0;52.85185185;3;1478.226;1366 x 768;30;21;men;3
303;63;Lessons;2.182599744841972;2.4652661825137927;0;144;100;102.7777778;1.444444444;20.88888889;21.81481481;0;1523.691;1366 x 768;42;28;men;1
304;53;Cartoons;9.197309181189583;7.008442081333783;2;720;400;1692.666667;13.51851852;26.88888889;21.03703704;14;1131.684;1920x1200;36;24;women;1
305;43;Music;8.63852382999514;6.810469349964349;1;480;400;886.7777778;30.88888889;0;66.55555556;3;1524.568;1366 x 768;30;21;men;4
306;43;Music;8.63852382999514;6.810469349964349;1;1080;1000;3210.777778;29.77777778;0;43.66666667;1;1301.012;1366 x 768;30;21;men;4
307;13;News;5.411190697380056;5.333038831296158;0;720;400;2899.111111;29.92592593;0;43.40740741;1;1247.004;1920x1200;7;21;women;4
308;13;News;5.411190697380056;5.333038831296158;0;720;400;1372.222222;29.92592593;0;43.51851852;1;1235.987;1920x1200;7;21;women;4
313;12;News;4.738728724540743;4.9139043460941805;0;1080;1000;2638.555556;29.77777778;0;43.7037037;1;1285.927;1366 x 768;3;25;men;5
314;41;Music;12.175865536915449;7.894544315349986;2;360;200;635.3333333;29.92592593;0;59.77777778;2;851.413;1366 x 768;26;36;men;3
315;73;Movies;6.4222844656205185;5.874105731565194;0;360;200;869.1111111;30.88888889;0;66.55555556;3;1843.98;1920x1200;51;25;men;5
316;62;Lessons;1.9414298662998701;2.095430591845744;0;720;400;1402;29.74074074;0;43.77777778;1;792.093;1920x1200;39;20;men;4
317;32;Documentary;12.654185676416692;8.016248746371058;3;480;1000;1583;28.66666667;0;42.18518519;1;1250.596;1920x1200;22;23;men;5
318;62;Lessons;1.9414298662998701;2.095430591845744;0;720;400;1707.333333;30.11111111;0;44.03703704;1;1354.519;1920x1200;39;20;men;4
319;31;Documentary;5.3956730871217315;5.323968209279923;0;360;200;2718;0;0;0;3;710.99;1920x1200;19;27;women;1
320;33;Documentary;9.53971310756348;7.123893193826178;2;240;200;412.1111111;30.22222222;0;38.59259259;2;1195.578;1920x1200;24;24;men;3
321;22;Sports;18.99129562519022;9.298578866975943;3;480;400;1331;0;0;0;3;1095.364;1920x1200;13;26;men;1
322;81;Games;12.242662262985103;7.91182450052908;2;360;200;442.1111111;29.59259259;0;64.2962963;3;4034.873;1920x1200;54;25;men;3
323;81;Games;12.242662262985103;7.91182450052908;2;360;200;1729;0;0;0;2;640.158;1920x1200;54;25;men;1
324;73;Movies;6.4222844656205185;5.874105731565194;0;360;200;1204;0;0;0;3;1014.255;1920x1200;51;25;men;1
325;22;Sports;18.99129562519022;9.298578866975943;3;240;200;368.5555556;30;0;38.2962963;2;1599.821;1920x1200;13;26;men;3
326;71;Movies;5.412066549907106;5.333550023964247;0;720;400;1724.888889;30.03703704;2;44.03703704;5;2226.788;1366 x 768;44;23;men;2
327;21;Sports;17.37365140192851;9.01738984183051;3;240;200;356.5555556;30;0;38.2962963;2;1637.634;1920x1200;9;25;men;2
328;32;Documentary;12.654185676416692;8.016248746371058;3;360;200;377;0;1;5.740740741;5;790.851;1920x1200;22;23;men;2
329;52;Cartoons;7.801982650121881;6.488763492380295;1;720;400;2940.111111;28.40740741;1;41.59259259;3;1052.865;1920x1200;34;20;men;5
